Eurygnathohippus, Eurygnathohippus turkanense, 1.80585, 12.809000000000001
Haplohippus, Haplohippus texanus, 38.8, 38.8
Heteropliohippus, Heteropliohippus hulberti, 14.1815, 14.1815
Hipparion, Hipparion chiai, 8.725, 10.154
Hipparion, Hipparion concudense, 7.0165, 10.154
Hipparion, Hipparion condoni, 9.25, 9.25
Hipparion, Hipparion crassum, 1.29985, 11.520850000000001
Hipparion, Hipparion dietrichi, 7.0165, 8.225
Hipparion, Hipparion fissurae, 4.266500000000001, 4.266500000000001
Hipparion, Hipparion forcei, 9.433, 14.1815
Hipparion, Hipparion gromovae, 7.0165, 7.0165
Hipparion, Hipparion laromae, 9.2, 9.2
Hipparion, Hipparion longipes, 4.266500000000001, 4.550000000000001
Hipparion, Hipparion macedonicum, 8.225, 8.470500000000001
Hipparion, Hipparion matthewi, 7.0165, 8.470500000000001
Hipparion, Hipparion mediterraneum, 7.0165, 10.154
Hipparion, Hipparion molayanense, 7.0165, 7.0165
Hipparion, Hipparion periafricanum, 7.0165, 7.0165
Hipparion, Hipparion phlegrae, 7.0165, 7.0165
Hipparion, Hipparion rocinantis, 3.9605, 3.9605
Hipparion, Hipparion shirleyae, 14.1815, 14.1815
Hipparion, Hipparion tehonense, 4.4665, 14.1815
Hipparion, Hipparion weihoense, 8.725, 10.154
Hippidion, Hippidion devillei, 0.9904999999999999, 3.0940000000000003
Hippidion, Hippidion principale, 0.4535, 1.6845
Hippidion, Hippidion saldiasi, 0.06885, 0.06885
Hippotherium, Hippotherium primigenium, 1.80585, 10.533000000000001
Hypohippus, Hypohippus affinis, 9.25, 14.785
Hypohippus, Hypohippus chico, 14.1815, 14.1815
Hypohippus, Hypohippus equinus, 18.2, 18.2
Hypohippus, Hypohippus nevadensis, 11.95, 11.95
Hypohippus, Hypohippus osborni, 11.95, 18.2
Hypohippus, Hypohippus pertinax, 14.785, 18.2
Kalobatippus, Kalobatippus agatensis, 22.615000000000002, 22.615000000000002
Kalobatippus, Kalobatippus australis, 14.1815, 18.2
Kalobatippus, Kalobatippus avus, 22.615000000000002, 25.615000000000002
Megahippus, Megahippus matthewi, 11.95, 11.95
Megahippus, Megahippus mckennai, 14.785, 14.785
Merychippus, Merychippus brevidontus, 14.1815, 17.015
Merychippus, Merychippus calamarius, 11.95, 14.785
Merychippus, Merychippus californicus, 14.1815, 14.785
Merychippus, Merychippus coloradense, 8.094, 18.2
Merychippus, Merychippus gunteri, 14.1815, 18.2
Merychippus, Merychippus insignis, 11.95, 18.2
Merychippus, Merychippus primus, 14.785, 18.2
Merychippus, Merychippus quintus, 18.2, 18.2
Merychippus, Merychippus relictus, 14.1815, 14.785
Merychippus, Merychippus republicanus, 14.785, 14.785
Merychippus, Merychippus sejunctus, 14.1815, 18.2
Merychippus, Merychippus stevensi, 14.1815, 14.1815
Mesohippus, Mesohippus bairdi, 33.599999999999994, 35.55
Mesohippus, Mesohippus exoletus, 33.599999999999994, 35.55
Mesohippus, Mesohippus propinquus, 35.55, 35.55
Mesohippus, Mesohippus texanus, 35.55, 38.8
Mesohippus, Mesohippus westoni, 35.55, 35.55
Minippus, Minippus index, 53.05, 53.05
Miohippus, Miohippus anceps, 25.615000000000002, 25.615000000000002
Miohippus, Miohippus annectens, 25.615000000000002, 32.05
Miohippus, Miohippus assiniboiensis, 29.049999999999997, 29.049999999999997
Miohippus, Miohippus equiceps, 25.55, 32.05
Miohippus, Miohippus equinanus, 22.615000000000002, 28.55
Miohippus, Miohippus gemmarosae, 22.615000000000002, 25.615000000000002
Miohippus, Miohippus gidleyi, 32.05, 33.599999999999994
Miohippus, Miohippus grandis, 33.599999999999994, 35.55
Miohippus, Miohippus intermedius, 25.615000000000002, 32.05
Miohippus, Miohippus obliquidens, 25.615000000000002, 35.55
Miohippus, Miohippus taxus, 22.615000000000002, 22.615000000000002
Nannippus, Nannippus aztecus, 3.35, 14.1815
Nannippus, Nannippus beckensis, 3.35, 3.35
Nannippus, Nannippus minor, 3.9605, 12.154
Nannippus, Nannippus morgani, 7.6000000000000005, 14.1815
Nannippus, Nannippus peninsulatus, 2.6, 7.6000000000000005
Nannippus, Nannippus westoni, 4.4665, 14.1815
Neohipparion, Neohipparion affine, 9.25, 14.1815
Neohipparion, Neohipparion eurystyle, 4.4665, 14.1815
Neohipparion, Neohipparion gidleyi, 7.6000000000000005, 14.1815
Neohipparion, Neohipparion leptode, 7.6000000000000005, 9.25
Neohipparion, Neohipparion trampasense, 7.6000000000000005, 14.1815
Orohippus, Orohippus major, 48.25, 48.25
Orohippus, Orohippus proteros, 53.05, 53.05
Orohippus, Orohippus pumilus, 48.25, 48.25
Orohippus, Orohippus sylvaticus, 43.3, 48.25
Parahipparion, Parahipparion saldiasi, 0.06885, 0.06885
Parahippus, Parahippus atavus, 22.615000000000002, 22.615000000000002
Parahippus, Parahippus cognatus, 14.785, 18.2
Parahippus, Parahippus leonensis, 14.1815, 25.615000000000002
Parahippus, Parahippus maxsoni, 25.615000000000002, 25.615000000000002
Parahippus, Parahippus pawniensis, 14.1815, 22.615000000000002
Parahippus, Parahippus pristinus, 22.615000000000002, 25.615000000000002
Parahippus, Parahippus wyomingensis, 22.615000000000002, 22.615000000000002
Parapliohippus, Parapliohippus carrizoensis, 14.1815, 18.2
Pliohippus, Pliohippus coalingensis, 3.9605, 3.9605
Pliohippus, Pliohippus fairbanksi, 11.95, 14.1815
Pliohippus, Pliohippus fossulatus, 11.95, 14.1815
Pliohippus, Pliohippus mirabilis, 14.1815, 14.785
Pliohippus, Pliohippus nobilis, 7.6000000000000005, 9.25
Pliohippus, Pliohippus pernix, 8.094, 14.895
Pliohippus, Pliohippus potosinus, 8.470500000000001, 8.470500000000001
Pliohippus, Pliohippus spectans, 7.6000000000000005, 14.1815
Pliolophus, Pliolophus barnesi, 51.9, 51.9
Pliolophus, Pliolophus vulpiceps, 51.9, 52.2
Protohippus, Protohippus gidleyi, 7.6000000000000005, 14.1815
Protohippus, Protohippus lenticularis, 7.6000000000000005, 7.6000000000000005
Protohippus, Protohippus perditus, 7.6000000000000005, 14.785
Protohippus, Protohippus supremus, 8.470500000000001, 14.1815
Protohippus, Protohippus vetus, 14.1815, 14.785
Protorohippus, Protorohippus montanum, 53.05, 53.05
Protorohippus, Protorohippus venticolum, 53.05, 53.05
Pseudhipparion, Pseudhipparion curtivallum, 11.95, 14.895
Pseudhipparion, Pseudhipparion gratum, 8.094, 14.785
Pseudhipparion, Pseudhipparion hessei, 11.95, 14.1815
Pseudhipparion, Pseudhipparion retrusum, 9.25, 14.785
